tagID,tagText,tagType
481,glasshalffulmer,mention
482,Mel11344,mention
483,Chatty_Kathy10,mention
484,scgrmom,mention
485,wmwhitecaps,mention
486,beckjason,mention
487,thecttigers,mention
488,_RyanKraus,mention
489,sherryannfuller,mention
490,borrelli3,mention
491,ckb11,mention
492,JasonBuchan,mention
493,sg0616,mention
494,yerfaceismycase,mention
495,Blunted517,mention
496,djtoby44,mention
497,TigersCommunity,mention
498,ChildrensDMC,mention
499,USArmy,mention
500,LGRW,hashtag
501,JWolok4Detroit,mention
502,Joyce_Blaze,mention
503,WWJ950,mention
504,ronaldowens_iii,mention
505,lancerodeo,mention
506,JoshLandonFox2,mention
507,C_DeAnda2,mention
508,Pudge_Rodriguez,mention
509,MSHOF,mention
510,NationalHighFiveDay,hashtag
511,TigersWin,hashtag
512,KalebBoyer2,mention
513,ashnoelwmi,mention
514,jonmorosi,mention
515,djskeez313,mention
516,TheBachelor,hashtag
517,Sharonlynne1964,mention
518,chrisbharrison,mention
519,TheBachelorTV,mention
520,DanielZbikowsk2,mention
521,curtgOK,mention
522,BrianReganComic,mention
523,BrevinAinslie24,mention
524,demitirusmcnea7,mention
525,lorianngazella,mention
526,e_rich989,mention
527,Haggs_88,mention
528,eribeaux,mention
529,DidTheTigersWlN,mention
530,dreyl52,mention
531,katiecpierce,mention
532,TTNQ,hashtag
533,mabke1012,mention
534,kyle_saville29,mention
535,allie_harwood1,mention
536,GUnit_81,mention
537,uwoshkosh,mention
538,Lewis51M,mention
539,LexLovesDet_,mention
540,EAJS44,mention
541,evanwoodbery,mention
542,court93babyy,mention
543,tigerslady9vick,mention
544,ClassOutside,hashtag
545,SowdersErica,mention
546,daniellexxhelms,mention
547,Kiley4T,mention
548,writetobefree83,mention
549,ajdupontz28,mention
550,DetroitGP,hashtag
551,detroitgp,mention
552,SpencerPigot,mention
553,B_Farm09,mention
554,K_Rizzy418,mention
555,mlblondonseries,mention
556,Pirates,mention
557,Pirates_UK,mention
558,FFBLegend,mention
559,sportstori,mention
560,erynelizabeth,mention
561,colinftp,mention
562,c_alexander_21,mention
563,Dbcoop25,mention
564,BrianManzullo,mention
565,NevKre,mention
566,Destine39200413,mention
567,JoeRollheiser,mention
568,amjbs08,mention
569,JLaw2543,mention
570,SauxyCj,mention
571,KKoz11,mention
572,JoAnnePurtan,mention
573,stephenclark,mention
574,1043WOMC,mention
575,IndyCar,mention
576,ECRIndy,mention
577,MFulmer12,mention
578,KelsKels21,mention
579,ReallyBigPeter,mention
580,SheTooCold,mention
581,TammeTweets,mention
582,thestout79,mention
583,cmstrojanpride,mention
584,MrsRitterCMS,mention
585,hernan7lescay23,mention
586,freep,mention
587,Beimers2424,mention
588,BuffingaMakaya,mention
589,TimmyBonnar,mention
590,jmhentrich,mention
591,FeedKerryon,mention
592,walleyezonme,mention
593,mr_wmu,mention
594,mrsjbcrum,mention
595,Ryne_Stanek,mention
596,JoshCaygill72,mention
597,TheRoar_24,mention
598,DetroitStrong01,mention
599,anjamo9,mention
600,stevegiglio,mention
601,gladdyontherise,mention
602,andyclark211,mention
603,itskichak,mention
604,MLBONFOX,mention
605,SlangsOnSports,mention
606,tigersdani,mention
607,shan_cake,mention
608,ReliableCassie,mention
609,GeneSpilak,mention
610,FanDuel,mention
611,Artk34,mention
612,AndreaUrbanTV,mention
613,Rachx98,mention
614,DJMorse,mention
615,LizWilsonWright,mention
616,DragonsBaseball,mention
617,MRSKORBA,mention
618,Scarlson29,mention
619,MerPepp,mention
620,fanvav,mention
621,_CameronMC_,mention
622,BobGreenburg,mention
623,MrsWalczy,mention
624,goodingmusic,mention
625,MSU_Football,mention
626,NationalHaikuDay,hashtag
627,DrDetroit68,mention
628,VetTix,mention
629,DisneyMama425,mention
630,MakeAWishMI,mention
631,MaryC07352428,mention
632,dcinti175,mention
633,RedWings88,mention
634,christin_stew,mention
635,EdwardJones,mention
636,porto_dominick,mention
637,HookSlide23,mention
638,mbadams44,mention
639,CsonkaTroy,mention
640,samantha_hill84,mention
641,Kdma1221,mention
642,Doodle2swife,mention
643,ZachBucholtz,mention
644,HalfTreble3,mention
645,Principal_Dave,mention
646,JocelynBenson,mention
647,X275Dean,mention
648,JakeMcPherson13,mention
649,AlyssaMillinoff,mention
650,motorcitymoney,mention
651,mernattig,mention
652,TyCobbFan,mention
653,jshaw_02,mention
654,_Alan_Parker,mention
655,ablevins11,mention
656,dkambers,mention
657,Nadia_Faulkner,mention
658,ChrisShort,mention
659,elmtree916,mention
660,HoelottaBilotta,mention
661,James58892101,mention
662,BrandonSmillie,mention
663,mulho2mj,mention
664,Whoabot,mention
665,Rousseau16Sarah,mention
666,mjm52372,mention
667,Tomleegun,mention
668,BoisterousBlake,mention
669,phenom1984,mention
670,CJTennant22,mention
671,ArmyVet89_90,mention
672,Tintin049,mention
673,rumbunter,mention
674,thepointofpgh,mention
675,SoftMagazineDMP,mention
676,BadNewsBeauLOP,mention
677,Bob_Nic_LSU,mention
678,DeadlineDetroit,mention
679,bhschools,mention
680,joeengelbrink,mention
681,FreakyNikki02,mention
682,daily_msu,mention
683,femaletrumpet02,mention
684,MGonza4880,mention
685,dylan44osu,mention
686,b4murdoc,mention
687,tonydodgewriter,mention
688,nickvandyken,mention
689,griffinshockey,mention
690,Jaymo29,mention
691,JayBayer6,mention
692,kimmy_keppen,mention
693,aidemph,mention
694,HammerFox2,mention
695,SFHCommish_1,mention
696,mattgoodrich93,mention
697,gurneech,mention
698,Shindler98,mention
699,AdamBitely,mention
700,gkern,mention
701,Maddox_32,mention
702,GameofThrones,hashtag
703,BallparkTalkPod,mention
704,ItStartsHere,hashtag
705,LolAriel,mention
706,eb9pt5,mention
707,Nina_Lo2425,mention
708,Pistons,hashtag
709,GameOfThrones,hashtag
710,yoopergirl99,mention
711,michiganjean,mention
712,Hugh_Go_,mention
713,Skajdze,mention
714,sambayle21,mention
715,HoustonFanPVP,mention
716,richcanprintit,mention
717,DebraLindh,mention
718,meg60573709,mention
719,FreeshootXiggy,mention
720,mddecoys,mention
721,byrne_benji,mention
722,jentrification,mention
723,PallMallitor,mention
724,rocketknight73,mention
725,chirazi26,mention
726,umpirechris65,mention
727,PHIna1y_Phamou5,mention
728,eastcoastcrumbs,mention
729,brooklynpeach,mention
730,ZHMGoBlue,mention
731,CzarNic,mention
732,gord93,mention
733,bizzarr1000,mention
734,jmoiz,mention
735,V1nc3n1_V311a,mention
736,FromTheSeidline,mention
737,MollyMo32,mention
738,TNelsonWX,mention
739,Real_RN_BLuther,mention
740,ztikroh,mention
741,BobbleHeadGuru,mention
742,mariarose_xo,mention
743,Matt_Blunk10,mention
744,MiKeBeNNER19,mention
745,PistonsHooper,mention
746,P_Sebastian_Ozz,mention
747,tylervan15,mention
748,CStrable,mention
749,Bry_Mac,mention
750,daz_cameron16,mention
751,DTE_Energy,mention
752,JohnHicks08,mention
753,MOTORON,hashtag
754,ItsGEnotJ,mention
755,Motoron,hashtag
756,shanejewula,mention
757,Tom_in_Ohio,mention
758,Tha_Ricecooker,mention
759,mlb_tina14,mention
760,Matt_J_Kammer,mention
761,CKanine,mention
762,GethinCoolbaugh,mention
763,pistons,mention
764,jimmy24576,mention
765,DetroitCityFC,mention
766,MSUmsoccer,mention
767,HJBosch21,mention
768,Cryptonite77,mention
769,rapsodo,mention
770,Darrell_Clem,mention
771,EpicenterLeslie,mention
772,mccurry8,mention
773,CathyWork15,mention
774,DGTnTeacher,mention
775,illRayzor,mention
776,parkermeadows3,mention
777,johnpwilton,mention
778,BGaeth,mention
779,billdcon,mention
780,tjs2003x,mention
781,jewski94,mention
782,funkd04,mention
783,olivia_combs11,mention
784,Chasehyatt15,mention
785,cobredonkey,mention
786,Crythensin,mention
787,MyiaTaylor,mention
788,JRussellMI,mention
789,zaldor,mention
790,TinBro4,mention
791,ABreedz,mention
792,LeahReist,mention
793,NationalPetsDay,hashtag
794,AmyHarber,mention
795,DerrDorothy,mention
796,rkmacpherson,mention
797,mrgbarreto,mention
798,FrauleinPhil27,mention
799,23KGibby,mention
800,jordanmcw13,mention
801,MissJoelleBrown,mention
802,kellierowe,mention
803,blainehardy65,mention
804,suss2hyphens,mention
805,leahmarie_021,mention
806,Meowezzy14,mention
807,ProfRWade,mention
808,UMKines,mention
809,UMich,mention
810,UMichFootball,mention
811,Jhuey_,mention
812,hannah_delores,mention
813,BrandonInge,mention
814,wingnut1955,mention
815,haileylaurenm,mention
816,VADetroit,mention
817,GDS_TheMayor,mention
818,ONLYATGRANDSLAM,mention
819,Topps,mention
820,WatchTheBreaks,mention
821,darrenrovell,mention
822,GoGTSLive,mention
823,SoHobbyGames,mention
824,beckettmedia,mention
825,kmo11,mention
826,PatyHinojosa313,mention
827,jlamb781,mention
828,Kyle_Mansour,mention
829,PureMichigan,hashtag
830,PureMichigan,mention
831,_Dbush11,mention
832,GoBlue,hashtag
833,CMo_27,mention
834,RedReaper013,mention
835,DiehardDet,mention
836,KEOchalek,mention
837,saebhaidar,mention
838,SirAWilliams80,mention
839,Sparty356,mention
840,MrStephenLong,mention
841,ChasingChampio1,mention
842,domjvasquez,mention
843,jendog_18,mention
844,Another5K,mention
845,Ernzcognito,mention
846,bryfill,mention
847,jliusXX,mention
848,MRB08071963,mention
849,lenny_padilla,mention
850,JCrossovers,mention
851,abirdabeeaplane,mention
852,TubmanBehn,mention
853,MLBCentral,hashtag
854,Erocksradio,mention
855,beckycociuba_,mention
856,daviddanic,mention
857,DanielZatkovich,mention
858,nocapavery,mention
859,chadellis20,mention
860,RuhligHudson,mention
861,GrandePTBNL,mention
862,tigersfanmaggs,mention
863,PlayersOnly,hashtag
864,AerieRocks,mention
865,Alindz99,mention
866,Cut4,mention
867,alex_Dbos,mention
868,brown_tony1,mention
869,wzawacki,mention
870,ryan_theisen,mention
871,tigermike1975,mention
872,LeylandsLung,mention
873,rexdeaz,mention
874,ZackMeisel,mention
875,MandyBell02,mention
876,ericdubov,mention
877,KenyonBolling16,mention
878,Safeco330,mention
879,A30X,mention
880,McMoody17,mention
881,KaseyChante,mention
882,MLB,hashtag
883,mjpete80,mention
884,beccaelandt,mention
885,NatsBullpenCart,mention
886,noblers144,mention
887,dmansworld474,mention
888,JimSmithIII,mention
889,elizagnnnn,mention
890,johnrouzaut2,mention
891,KellySpana,mention
892,Trudyy_4,mention
893,puk32ellers,mention
894,GinoMuzzalupo,mention
895,PierceCards,mention
896,angelabukhtia,mention
897,MUCrusadersBSB,mention
898,miggy_mr,mention
899,StevetheSkunk,mention
900,gettylee_56,mention
901,schultzb4224,mention
902,SifferMichael,mention
903,Chriscowan626,mention
904,ElmoreTudy,mention
905,LariatNLakeLife,mention
906,jenncuz22,mention
907,cody_swingle,mention
908,llamaspajamas,mention
909,fantasyFBdemon,mention
910,MeganFlood11,mention
911,thatguy1278,mention
912,ComericaPark,mention
913,Que_Nice,mention
914,ryanpowell1003,mention
915,SophiaFanning17,mention
916,BitchWacked,mention
917,ShepMatt,mention
918,SCTop10,hashtag
919,Greg_Gania,mention
920,KennySledge,mention
921,BrianCummer,mention
922,BringingTheHeat,hashtag
923,JAJimenez27,mention
924,BRGolfer,mention
925,Kathleenerzzz,mention
926,richardson581,mention
927,KRepeck88,mention
928,hallaaron21,mention
929,Maully2x,mention
930,Greenjacob1288,mention
931,MLBTheShow,mention
932,tperzyk,mention
933,CoachHaring,mention
934,zeltronz80,mention
935,misterpayne_,mention
936,OrigamiOwl,mention
937,Maize5Blue,mention
938,RoxanneSteele,mention
939,NashDetroit,mention
940,DanAndShay,mention
941,OldDominion,mention
