SNSUserID,SNSType,accountID,userName,followersCount,postsCount
92,Twitter,2275203205,Jeremy_Morgan92,305,37718
93,Twitter,351610732,AdamSchabel13,510,37218
94,Twitter,176858880,DanOShedd,502,33787
95,Twitter,898821864,majacks13,20,2243
96,Twitter,804160469481222144,ostwhighlander1,137,3287
97,Twitter,393822490,xo2323,51,954
98,Twitter,2553489247,jessicasosa146,286,10556
99,Twitter,1853071652,beckypbear,93,2270
100,Twitter,3165566243,sanijohn0,258,447
101,Twitter,729168722,ATTSportsNetSW,59778,17157
102,Twitter,960630509066969088,bethanykaryssa,46,197
103,Twitter,2787335248,libbydettman727,16,278
104,Twitter,872225649079046144,s_seiber22,142,8494
105,Twitter,522844540,suziqkelley,5489,124243
106,Twitter,433090704,LaneSanders,581,4875
107,Twitter,883450910122418176,ElVrother,24,912
108,Twitter,791905724532129793,Raging_Herman,19,3347
109,Twitter,930544706991411200,1300KWL,321,42094
110,Twitter,1121233536877461507,BosticWalter1,32,3
111,Twitter,730208094513287168,lashae_keith,360,6467
112,Twitter,1108254519270477825,BlissCarmella,260,804
113,Twitter,3788408053,bbillssss50,49,594
114,Twitter,767329230262763520,official_marcks,355,48239
115,Twitter,426850057,_bmedina03,468,28138
116,Twitter,1035404389,lukeydukey71,348,2420
117,Twitter,196836469,chawanbahd,256,49459
118,Twitter,1118587799303802881,BudgenTom,18,1329
119,Twitter,1115132885126848512,Drakeju20591916,77,273
120,Twitter,2371351951,AllieRich218,931,23353
121,Twitter,297641551,therese_walker,641,8628
122,Twitter,231833846,jeongadam,297,61322
123,Twitter,211895463,nynfa711,1046,30735
124,Twitter,1713184964,KevyBhoy79,1536,44326
125,Twitter,974046389905870849,AggieM1A,24,1228
126,Twitter,983459527235268608,kelley_kastorff,0,3
127,Twitter,2702041424,joseanmolina94,573,34952
128,Twitter,47865937,fatesdisastr,83,920
129,Twitter,4063765092,realrankinwhite,90,717
130,Twitter,1358431248,bab33amber,228,8456
131,Twitter,1121652426463793152,bootstomper1010,0,8
132,Twitter,220606725,fantic7,27,1803
133,Twitter,3699710295,RalphG322,100,5131
134,Twitter,752568510685978624,jkieran1,32,1047
135,Twitter,14675499,prelude92,95,2941
136,Twitter,233839735,MHabi55,565,24932
137,Twitter,788890072925954048,moonbot24,243,53993
138,Twitter,1111367582806958080,cpenny81,68,455
139,Twitter,1113381387854385152,MathewH14861978,13,44
140,Twitter,846276908480446465,asusieq007,5,15
141,Twitter,2279769133,alexloerac1,236,1564
142,Twitter,46773585,TwinLily,296,9891
143,Twitter,1053099234252206081,saltwaterpanda1,2,19
144,Twitter,829005928921956352,JoeMock97,8,61
145,Twitter,3345185711,pinkteddy_bella,2402,250054
146,Twitter,746438214072795136,PashaUzi,1756,1790
147,Twitter,52187362,bigreyn321,1192,33564
148,Twitter,576322936,grantmason12,311,2791
149,Twitter,970606163296337925,vidales41,4414,3403
150,Twitter,232342924,EAlexisss_,2443,3452
151,Twitter,848246922,BigJimSports,1359,88394
152,Twitter,855464066,Dusty_Coog20,2192,87404
153,Twitter,23108081,Evan_P_Grant,71225,116485
154,Twitter,3600854833,alfredotodd71,617,36604
155,Twitter,898386193,OrbitAstros,71203,6604
